"ip";"ports"
"82.204.153.58";"541"
"90.154.40.78";"2000"
"90.156.201.53";"80, 443"
"91.206.58.10";"8443"
"91.206.58.71";"25"
"91.206.58.72";"25"
"91.206.58.80";"443"
"91.206.58.96";"443, 5222, 7443, 8008"
"91.206.58.105";"443"
"91.206.58.106";"80, 443, 8008"
"91.206.58.109";"443"
"91.206.58.114";"443, 8008"
"91.236.136.166";"21, 25, 80, 110, 143, 443, 465, 587, 993, 995, 1500, 3306, 9999"
"91.241.246.73";"53, 443, 2000, 8291"
"95.213.247.173";"80, 443"
"193.9.246.10";"541"
"193.169.29.215";"541"
"194.186.241.202";"541"
"217.15.49.54";"541"
